nr,text
1,"This image depicts a blue passenger car performing a U-turn maneuver on a bridge over a body of water (indicated by the blue/green water and the railings). The intended path of the U-turn is shown by a long, curved green arrow."
2,"This image depicts two passenger cars (one blue in the foreground and one red further ahead) traveling on a two-way, single-lane road with a central dashed white line, indicating that overtaking is permitted. The road curves sharply to the right.

On the right side of the road, there is a prominent warning sign 112 (Bīstams līkums – Dangerous curve) indicating a sharp bend to the right.

The blue car is positioned to the left of the central dashed line, clearly initiating or performing an overtaking maneuver of the red car."
3,"
This image shows a red passenger car stopped at an intersection approaching a roundabout (rotary).

In the context of the Latvian CSN (Ceļu satiksmes noteikumi):

There are two critical road signs posted on the right side of the approach to the roundabout:

Sign 207 (Dodiet ceļu – Give way/Yield), which is the inverted white triangle with a red border.

Sign 403 (Apļveida krustojums – Roundabout), which is the blue circle with white arrows forming a circle."
4,"This image is taken from the perspective of a driver on a multi-lane urban road.
The most significant element is the sign 201.
The red passenger car is visible on the right, turning or about to turn onto the main road from a side street. Additionally, the image shows a view in the rear-view mirror, where a vehicle (likely a truck or van) with headlights on is approaching from the rear."
5,"This image is a driver's perspective (cockpit view) of a vehicle traveling on a two-way, single-lane road in a rural or park-like environment, bordered by trees and grass.

The key visual element is a mandatory speed limit sign 324 (Speed restriction) posted on the right side of the road, indicating a maximum speed of 50 km/h.

The road surface is asphalt, marked with a central dashed white line, indicating passing is permitted. The road ahead has a gentle curve to the left.

The dashboard view at the bottom includes a speedometer indicating the current speed is approximately 100 km/h. Indicators for various vehicle systems are also visible."
6,"
This image is a driver's perspective (cockpit view) of a vehicle traveling on a multi-lane urban road, characterized by apartment buildings in the background.

The road consists of two lanes for travel in the same direction (separated by a dashed white line) and has a wide median/separation area with green space between the opposing directions of traffic (not fully visible).

On the right side of the road, there is a parking sign combination:

Sign 537 (Parking place), a square blue sign with a white ""P"".

A supplemental rectangular plate underneath, indicating the valid hours and days for parking with the text ""7.30 - 18.00"" and small symbols: a crossed hammer and wrench (indicating workdays) and a crossed knife and fork (sometimes used to indicate specific conditions, often working hours/days). 

Ahead on the road, a blue passenger car is visible in the right lane, and a red car is parked or stopped further down near the curb. There are also pedestrians and cyclists visible on the sidewalks/bike paths to the left and right."
7,"
This image is a driver's perspective (cockpit view) of an approach to an intersection in a residential area.

On the right side of the road, there is a combination of two traffic signs:

Sign 201 (Main road/Priority road), the yellow square with a white border.

Supplemental plate 813 (Main road direction), a white plate with black lines showing the path of the main road, which curves to the right. The line showing the current road continues straight, but the main priority path turns right. The line indicating the road being left (going straight) is thinner.

A green arrow painted on the ground indicates the driver's intended path, which is to continue straight through the intersection, leaving the main road.

A cyclist is visible on the right, riding along the road that receives priority (the main road turns right). The surrounding environment consists of houses and trees."
8,"
This image depicts two passenger cars, one red and one blue, at a controlled intersection in a residential area.

The visual elements are:

A traffic light is installed, displaying a red signal (top light illuminated) for the approaching vehicles.

A Main road sign 201 (Priority road) is also present, although its function is superseded by the active traffic lights when they are operating.

The red car is behind the blue car and appears to be stopped or approaching the intersection.

The blue car is positioned near the center of the intersection, suggesting it is preparing to execute a turn.

Two green arrows indicate potential paths: one shows a turn to the right for the blue car, and the other shows a path to the right for the red car. Both paths are on the road that crosses the street the cars are currently on. The green arrows also trace the path of the cars through the intersection, suggesting the blue car is turning left and the red car is turning right.

The key conflict is that the traffic light is red for the drivers, which prohibits the start of the movement into the intersection."
9,"
This image is a driver's perspective (cockpit view) of an approach to a three-way intersection (a T-junction) in an urban setting. The vehicle's left turn signal is active.

On the right side of the road, there is a combination of two traffic signs:

Sign 201 (Main road/Priority road), the yellow square with a white border.

Supplemental plate 813 (Main road direction), a white plate with black lines showing the path of the main road, which continues straight and also turns to the right. The road coming from the left is thinner, indicating it is a side road without priority.

Visible in the intersection area:

A green van is approaching from the side street on the left, which is designated as the non-priority road.

A yellow car is positioned to the left of the driver, also on the non-priority side street, appearing to be waiting.

A Give Way sign 207 (Yield) is posted for traffic on the left side street.

Green arrows on the ground indicate the intended paths:

The driver's intended path is a left turn onto the side street.

The yellow car's intended path is to proceed straight across the intersection.

The green van's intended path is to proceed straight across the intersection."
10,"This image is a driver's perspective (cockpit view) of a vehicle approaching a temporary traffic control point on a residential road.

The key element is the presence of an official traffic regulator (likely a police officer or other authorized person) standing in the middle of the road. This regulator is wearing a dark uniform with a high-visibility vest and is holding a circular red stop sign/paddle.

The regulator is performing the signal to stop by extending the right arm horizontally in front of the vehicle, with the red sign/paddle facing the approaching driver.

The road surface is gravel or small stones, and the surrounding area consists of houses and trees. The city skyline is visible in the distance."
11,"
This image is a driver's perspective (cockpit view) of a vehicle approaching a T-junction intersection in an urban area. The road surface is cobblestone.

On the right side of the road, there is a combination of two traffic signs:

Sign 201 (Main road/Priority road), the yellow square with a white border.

Sign 401 (Direction to be followed / Mandatory direction of travel), a blue circular sign with a white arrow pointing right.

The combination of signs indicates that the driver is on a priority road and that they are mandated to turn right at this intersection; going straight or turning left is prohibited.

A pedestrian is visible on the sidewalk to the left, and a motorcycle is visible in the left side mirror, approaching from the rear. The speedometer shows a speed of approximately 40 km/h."
12,"
This image is a driver's perspective (cockpit view) approaching a cross intersection in an urban residential area surrounded by apartment buildings. The vehicle's left turn signal is active.

A thick green curved arrow is superimposed on the road, indicating the driver's intended maneuver, which is a left turn.

A green passenger car is visible directly across the intersection, approaching from the opposite direction. This opposing car appears to be initiating a right turn onto the side street (from the driver's perspective). Its path is also indicated by a thin green arrow curving towards the right.

The central part of the road where the vehicles will cross is clear of markings."
13,"
This image depicts a blue sedan stopped on the right side of a two-lane road, immediately next to a commercial building's entrance. The road has a central dashed white line.

Key elements relevant to the CSN:

A road marking 1.25 (the large white letter ""A"") is painted on the road surface, which designates a lane reserved for public transportation vehicles (buses/trolleybuses) and, in some cases, taxis or highly occupied vehicles, depending on supplementary markings or signs.

A mandatory sign 519 (Bus/Trolleybus Lane), a blue square with a white bus symbol and an arrow, is posted on the right curb, confirming that the lane the car is partially obstructing is designated for public transport.

The blue car is stopped entirely or primarily within this designated ""A"" lane.

A person is shown standing by the open rear door of the blue car, suggesting the car is engaged in stopping or parking for the purpose of a passenger entering or exiting the vehicle."
14,"
This image is a driver's perspective (cockpit view) of a vehicle traveling on an urban road, divided into two lanes for traffic in the same direction. The driver's right turn signal is active, indicating an intention to turn right onto the side road.

Key visual elements:

The road surface has a dashed white line separating the lanes, and the driver is in the right lane, preparing to turn.

The side street on the right leads towards a gas station/fuel stop (visible with a green and white sign).

A pedestrian (woman in a red top) is visible on the sidewalk near the corner, standing or walking near the intersection where the turn will take place.

In the rear-view mirror, a complex intersection is visible, including traffic lights (one showing red, one showing green) and a yellow car.

The right side mirror also shows a close-up of the traffic lights on the right side of the main road.

A white SUV is driving ahead in the left lane.

The dashboard speedometer indicates the speed is approximately 60 km/h.

The surrounding area consists of residential buildings (left) and commercial buildings (right)."
15,"This image depicts a towing operation involving two passenger vehicles on a multi-lane highway or main road in a rural setting.

Key elements:

A blue hatchback is being towed by an orange hatchback using a flexible towing rope (represented by the black and white checker pattern).

The blue car is itself towing a small, single-axle trailer behind it.

The towing operation is taking place in the rightmost lane of the road.

Vehicles, including a truck, are visible traveling in the adjacent left lane.

The road has a solid white line marking the edge of the carriageway and a wide paved shoulder.

The surrounding area is characterized by fields and forests."
16,"This image is a driver's perspective (cockpit view) of a vehicle traveling on an urban road, approaching a designated pedestrian crossing.

Key visual elements:

A large blue truck with a tarpaulin cover is driving immediately ahead in the same lane.

A traffic sign 533 (Pedestrian crossing), a blue square with a white triangle/figure of a pedestrian, is visible on the right side of the road, marking the location of the crossing.

The road is divided by a central barrier or safety fence and is bordered by wide grass medians and urban buildings.

A vehicle (blue car) is visible in the right side mirror, approaching from the rear.

The speedometer indicates a speed of approximately 70 km/h.

A pedestrian can be seen on the sidewalk to the far left.

The truck's rear hazard lights/braking lights are illuminated."
17,"This image is a driver's perspective (cockpit view) of an approach to a four-way intersection in a dense urban environment, characterized by tall buildings on both sides.

Key visual elements:

A mandatory direction sign 402 (Proceed straight only), a blue circular sign with a white arrow pointing up, is posted on the right side of the road.

The road surface has green arrows superimposed, originating from the driver's current position and branching into three paths labeled B, C, and D.

Path B proceeds straight through the intersection.

Path C turns left onto the side street.

Path D makes a U-turn back in the opposite direction.

A fourth location, A, is indicated on the right side street, representing a potential right turn exit from the intersection, though no green arrow traces this path.

The presence of the ""Proceed straight only"" sign dictates the possible movements at this intersection."
18,"
This image depicts a two-phase traffic light-controlled cross intersection with two passenger cars, one green and one yellow, approaching from opposing directions and intending to turn left.

Key visual elements:

Green car: Approaching from the bottom left, intending a left turn.

Yellow car: Approaching from the bottom right, intending a left turn.

Green arrows trace the intended path for both vehicles, showing they would cross paths in the center of the intersection.

Traffic lights: The main traffic lights for both drivers are displaying a red signal.

Supplementary traffic light: A separate indication box on the left shows the traffic light indication specifically relevant to the green car's left turn, displaying a red main signal and a green arrow signal pointing left on a black background (a supplementary section or light head).

Flashing signals (represented by the starbursts) indicate the operating lights: red for the main signal and green for the left-turn arrow.

The situation shows two vehicles intending to turn left, with the main light being red, but a potential permissive green arrow for the left turn in place. The green arrows tracing their paths show they must yield to each other if they turn simultaneously unless specific rules (like turning behind each other) apply, which is not visually demonstrated."
19,"This image displays three different traffic signs labeled A, B, and C.

In the context of Latvian official road law (CSN - Ceļu satiksmes noteikumi):

Sign A is a Warning Sign 121 (Divvirzienu satiksme – Two-way traffic). It is a white triangle with a red border containing two vertical arrows, one pointing up (red) and one pointing down (black). This sign is typically placed where a one-way road section ends and two-way traffic resumes.

Sign B is a Priority Sign 205 (Priekšroka pretimbraucošajiem transportlīdzekļiem – Priority to oncoming vehicles). It is a white circle with a red border containing two vertical arrows, one pointing up (red) and one pointing down (black). This sign prohibits traffic from entering a narrow section of road if it would force oncoming traffic to stop or reverse. The red arrow indicates the direction that must yield.

Sign C is a Warning Sign 103 (Krustojums ar līdzvērtīgiem ceļiem – Intersection with non-priority roads / Crossroad). It is a white triangle with a red border containing a black ""X"" or cross symbol. This sign warns of an intersection where the right-hand rule applies and there are no priority signs or traffic lights."
20,"
This image depicts a designated parking area (likely an off-street lot) with marked parking spaces.

Key visual elements:

The parking surface is paved and delineated by four parallel white lines, creating three adjacent parking spaces.

The rightmost parking space has large yellow diagonal lines forming an ""X"" painted across it.

This yellow marking indicates that the specific space is prohibited for parking or stopping and may be reserved for a specific non-parking purpose, such as an access zone, a specific service area, or simply permanently closed to vehicles.

The area surrounding the parking lot is grassy with trees, and the access road is a lighter-colored gravel or stone surface."
21,"
This image is a driver's perspective (cockpit view) of a vehicle approaching a residential street where traffic is regulated.

Key visual elements:

A mandatory direction sign 402 (Proceed straight only), a blue circular sign with a white arrow pointing up, is posted on the right sidewalk. This indicates that traffic on this street must proceed only straight ahead.

A white passenger car is parked or stopped on the right side of the road, close to the curb.

A dark SUV is driving straight ahead in the center of the road.

The street is a two-way, single-lane road, but the mandatory direction sign may be relevant only to the approaching intersection or the road ahead.

There are pedestrians visible on both the left and right sidewalks.

A side street approaches from the left, forming a T-junction or an intersection with the main street.

The surrounding environment consists of low-rise residential and multi-story buildings."
22,"
This image is a driver's perspective (cockpit view) approaching an intersection in an urban environment with tall residential buildings. The road surface is gravel or small stones.

Key visual elements:

The vehicle is approaching a T-junction where the road ahead ends and only turning left or right is possible.

A green truck is visible on the left, turning right onto the street the driver is currently on, or is already positioned on the cross-street.

A small blue passenger car is visible in the center of the intersection, approaching from the street opposite the truck.

Green arrows are superimposed on the road, indicating two possible paths for the driver:

A turn to the left.

A turn to the right.

A third green arrow indicates the blue car's intended movement, which appears to be a right turn towards the street where the truck is visible.

The entire scene depicts a complex turning situation at a T-junction involving at least three vehicles."
23,"
This image depicts a blue passenger car approaching an orange public bus that is stopped at a designated bus stop on the side of a two-way road in a rural setting.

Key visual elements:

An information sign 516 (Bus stop) is posted on the right side of the road, marking the location where the bus has stopped to embark or disembark passengers.

The orange bus is stopped in the right lane, occupying the carriageway at the stop. The bus's hazard warning lights (indicated by the starburst) are active.

The blue car is traveling behind the bus, and a green arrow indicates its intended path is to proceed straight ahead by overtaking the stopped bus.

The road is a single lane in each direction, with a solid white line marking the edge of the carriageway.

The surrounding area is grassy with trees and rocks."
24,"
This image depicts a red hatchback passenger car driving on a two-way, single-lane road in a rural environment.

Key visual elements:

The car is transporting a very large, round bale of hay or straw on its roof, which is secured by some visible restraint system. The bale's dimensions are significantly larger than the car's roof and height.

The driver is visible inside the car.

The road is marked with a solid white line on the right edge of the carriageway.

A guardrail or fence separates the road from the surrounding field and trees.

A white and black vertical marker post (a kilometer post or boundary marker) is visible on the right side of the road.

The overall scene suggests the vehicle is heavily or improperly loaded."
25,"This image depicts a vehicle's approach to a four-way cross intersection, illustrating several possible paths.

Key visual elements:

A mandatory direction sign 411 (Jābrauc norādītajos virzienos – Direction to be followed at an intersection), a blue square sign with two white arrows (one pointing straight and one pointing right), is posted on the right side of the road before the intersection. This sign indicates that the driver must only proceed straight or turn right.

The road surface has two lanes marked for approaching traffic, separated by a dashed white line. The driver is approaching in the right lane.

Five potential paths (A, B, C, D, E) are indicated by superimposed green arrows:

Path A: A left turn onto the side street to the left.

Path B: A U-turn back in the opposite direction.

Path C: Continuing straight ahead into the left lane of the exiting road.

Path D: Continuing straight ahead into the right lane of the exiting road.

Path E: A right turn onto the side street to the right.

The sign only permits movement corresponding to paths C, D (straight) and E (right turn), and prohibits movements corresponding to paths A (left turn) and B (U-turn)."
26,"
This image depicts a green truck (heavy goods vehicle with an empty open-box trailer) and a blue passenger car traveling on a two-way, single-lane road in a rural or suburban environment.

Key visual elements:

A mandatory direction sign 411 (Jābrauc norādītajos virzienos – Direction to be followed at an intersection), a blue square sign with two white arrows (one pointing straight and one pointing right), is posted on the right side of the road, close to the truck. This sign indicates that the driver must only proceed straight or turn right at the upcoming intersection or road split.

The green truck is positioned towards the center-right of the lane.

The blue car is positioned to the left of the truck, indicating it is currently overtaking the truck.

Green arrows are superimposed, illustrating the blue car's path as it continues to overtake and then proceeds straight ahead, while the dashed white line shows the dividing line between traffic directions. The solid line on the right marks the edge of the carriageway.

The image captures the moment an overtaking maneuver is being executed just before or at a point where a mandatory direction sign is posted."
27,"
This image is a driver's perspective (cockpit view) of an approach to a complex intersection in an urban residential area. The vehicle's right turn signal is active.

Key visual elements:

A combination of traffic signs is posted on the right side of the road:

Sign 201 (Main road/Priority road), the yellow square with a white border.

Supplemental plate 813 (Main road direction), a white plate with black lines showing the path of the main road, which turns left. The road ahead/straight and the side street to the right are designated as non-priority roads.

A thick green curved arrow is superimposed on the road, indicating the driver's intended maneuver, which is a right turn onto the non-priority side road.

Vehicles in the intersection:

A red van is approaching from the opposite direction (straight ahead).

A green convertible is visible on the main road to the left, initiating a right turn toward the driver's current road.

A line of two cars (red and green) is visible further down the road, waiting to enter the intersection from the right side street.

In the rear-view mirror, a blue convertible is visible behind the driver's vehicle.

A pedestrian is walking on the sidewalk to the right."
28,"
This image is taken from the perspective of a driver approaching a low-clearance underpass or tunnel entrance.

Key visual elements:

The vehicle is traveling on a road with a cobblestone surface and has two bicycles mounted on a roof rack.

A prohibitory sign 309 (Augstuma ierobežojums – Height restriction) is posted above the entrance of the underpass, displaying a maximum allowed height of 3.5 meters (3.5m) inside a red circle with a red border.

The underpass entrance is a brick structure with diagonal red and white striped markings on the vertical posts.

The overall height of the driver's vehicle is visually increased due to the bicycles on the roof rack, making the clearance a critical factor.

Beyond the tunnel entrance, a street and buildings are visible."
29,"This image is a driver's perspective (cockpit view) of a vehicle approaching a cross intersection in an urban environment. The vehicle's left turn signal is active.

Key visual elements include:

Traffic Lights: A main set of traffic lights is visible to the right, showing a red signal (top light) and a green signal (bottom light) illuminated simultaneously, indicated by red and green starbursts. A second set of lights is visible on the left side of the road with the same dual illumination.

Signage: A white rectangular sign with the word ""STOP"" is visible on a post in the center median. A white arrow points from this sign towards the traffic lights.

Road Layout and Movement: The road has a wide center median with trees. A green curved arrow is superimposed on the ground, indicating the driver's intended left turn.

Other Vehicle: A red passenger car is visible across the intersection, stopped or approaching from the opposite direction, with a green arrow tracing its intended path for a left turn."
30,"This image is a driver's perspective (cockpit view) of a vehicle traveling on a multi-lane highway (motorway or expressway).

Key visual elements include:

Road Layout: The road has at least two lanes for travel in the same direction, separated by a dashed white line. The road is divided from the opposing traffic by a guardrail, with a wide median area of grass and trees.

Signage: On the right side of the road, there is an information sign 501 (Automaģistrāle – Motorway) or a similar highway designation sign, which is a blue square with two white arrows pointing up and a white overpass symbol. Next to it is a black and white marker post.

Speed: The dashboard speedometer indicates a speed of approximately 100 km/h.

Traffic: A blue passenger car is visible driving ahead in the same lane. Other vehicles (motorcycle, van, and cars) are visible further ahead and in the adjacent lane.

Mirrors: The rear-view mirror and side mirrors show a red van/car and other traffic approaching from the rear."
31,"This image is a driver's perspective (cockpit view) of a vehicle approaching a cross intersection in an urban environment. The vehicle's left turn signal is active.

Traffic Lights: A main set of traffic lights is visible to the right, showing a red signal (top light) and a green signal (bottom light) illuminated simultaneously, indicated by red and green starbursts. A second set of lights is visible on the left side with the same dual illumination.

Emergency Vehicle: A yellow and red ambulance is visible on the right side street, stopped or approaching the intersection, with sirens/special audio signal active (indicated by musical notes).

Road Layout and Movement: A thick green curved arrow is superimposed on the road, indicating the driver's intended left turn. A small blue car is visible across the intersection, stopped or approaching from the opposite direction, with a green arrow tracing its intended path for a left turn. The road surface is gravel/stone."
32,"This image is a driver's perspective (cockpit view) approaching a cross intersection in an urban residential area. The vehicle's right turn signal is active (indicated by the green arrow on the dashboard).

Key visual elements include:

Priority Signage: A combination of signs is visible on the right sidewalk:

Sign 201 (Galvenais ceļš – Main road/Priority road), the yellow square with a white border.

Supplemental plate 813 (Main road direction) showing the main road turns to the right (the thicker line follows the right-turn path).

Movement: A thick green arrow is superimposed on the road, indicating the driver's intended path is to continue straight through the intersection, which means leaving the designated main road.

Traffic: A blue car is parked on the left side of the street. A yellow car and a red van are visible driving ahead in the same direction, following the straight path.

Environment: The area is bordered by multi-story apartment buildings."
33,"This image depicts an orange passenger car traveling on a rural road towards a bridge/overpass structure.

Roadway: The road is asphalt with a solid white line marking the edge of the carriageway, and a grass verge separates it from the surrounding environment.

Structure: A bridge or overpass crosses above the road. The structure is supported by brick/stone piers on either side.

Traffic on Bridge: A large yellow and blue truck (heavy goods vehicle) is visible driving across the bridge above the main road.

Environment: The setting is rural, with grass, trees, and a pink-flowering tree in the foreground on the right. A small cluster of houses or buildings is visible underneath the overpass in the distance."
